bin_id	chrom	start	end	mid_bp	position_cM
bin_00001	Chr01	1	700000	350000	0.0
bin_00002	Chr01	700000	800000	750000	0.0805
bin_00003	Chr01	800000	900000	850000	0.3221
bin_00004	Chr01	900000	1000000	950000	0.7246
bin_00005	Chr01	1000000	1100000	1050000	1.0467
bin_00006	Chr01	1100000	1200000	1150000	1.7713
bin_00007	Chr01	1200000	1300000	1250000	2.1739
bin_00008	Chr01	1300000	1400000	1350000	3.1401
bin_00009	Chr01	1400000	1500000	1450000	4.0258
bin_00010	Chr01	1500000	1600000	1550000	5.3945
bin_00011	Chr01	1600000	1700000	1650000	5.8776
bin_00012	Chr01	1700000	1800000	1750000	6.1997
bin_00013	Chr01	1800000	1900000	1850000	6.5217
bin_00014	Chr01	1900000	2000000	1950000	7.0853
bin_00015	Chr01	2000000	2100000	2050000	8.5346
bin_00016	Chr01	2100000	2200000	2150000	9.2593
bin_00017	Chr01	2200000	2300000	2250000	10.2254
bin_00018	Chr01	2300000	2400000	2350000	11.1111
bin_00019	Chr01	2400000	2500000	2450000	12.1578
bin_00020	Chr01	2500000	2600000	2550000	13.6876
bin_00021	Chr01	2600000	2700000	2650000	14.6538
bin_00022	Chr01	2700000	2800000	2750000	15.1369
bin_00023	Chr01	2800000	2900000	2850000	16.3446
bin_00024	Chr01	2900000	3000000	2950000	17.4718
bin_00025	Chr01	3000000	3100000	3050000	18.438
bin_00026	Chr01	3100000	3200000	3150000	19.6457
bin_00027	Chr01	3200000	3300000	3250000	21.7391
bin_00028	Chr01	3300000	3400000	3350000	22.5443
bin_00029	Chr01	3400000	3500000	3450000	23.5105
bin_00030	Chr01	3500000	3600000	3550000	24.5572
bin_00031	Chr01	3600000	3700000	3650000	25.6039
bin_00032	Chr01	3700000	3800000	3750000	26.6506
bin_00033	Chr01	3800000	3900000	3850000	28.5024
bin_00034	Chr01	3900000	4000000	3950000	29.4686
bin_00035	Chr01	4000000	4100000	4050000	30.8374
bin_00036	Chr01	4100000	4200000	4150000	32.5282
bin_00037	Chr01	4200000	4300000	4250000	33.5749
bin_00038	Chr01	4300000	4400000	4350000	34.5411
bin_00039	Chr01	4400000	4500000	4450000	36.2319
bin_00040	Chr01	4500000	4600000	4550000	38.4058
bin_00041	Chr01	4600000	4700000	4650000	39.372
bin_00042	Chr01	4700000	4800000	4750000	40.2576
bin_00043	Chr01	4800000	4900000	4850000	40.4992
bin_00044	Chr01	4900000	5000000	4950000	41.7874
bin_00045	Chr01	5000000	5100000	5050000	43.0757
bin_00046	Chr01	5100000	5200000	5150000	45.1691
bin_00047	Chr01	5200000	5300000	5250000	45.9742
bin_00048	Chr01	5300000	5400000	5350000	46.4573
bin_00049	Chr01	5400000	5500000	5450000	47.4235
bin_00050	Chr01	5500000	5600000	5550000	47.9066
bin_00051	Chr01	5600000	5700000	5650000	48.3897
bin_00052	Chr01	5700000	5800000	5750000	48.7923
bin_00053	Chr01	5800000	5900000	5850000	49.3559
bin_00054	Chr01	5900000	6100000	6000000	49.7585
bin_00055	Chr01	6100000	6200000	6150000	50.5636
bin_00056	Chr01	6200000	6300000	6250000	51.1272
bin_00057	Chr01	6300000	6400000	6350000	51.6103
bin_00058	Chr01	6400000	6500000	6450000	51.9324
bin_00059	Chr01	6500000	7000000	6750000	52.0129
bin_00060	Chr01	7000000	7300000	7150000	52.0934
bin_00061	Chr01	7300000	7400000	7350000	52.3349
bin_00062	Chr01	7400000	7600000	7500000	52.5765
bin_00063	Chr01	7600000	7700000	7650000	53.4622
bin_00064	Chr01	7700000	7800000	7750000	53.5427
bin_00065	Chr01	7800000	7900000	7850000	53.8647
bin_00066	Chr01	7900000	8000000	7950000	54.2673
bin_00067	Chr01	8000000	8100000	8050000	54.6699
bin_00068	Chr01	8100000	8200000	8150000	54.7504
bin_00069	Chr01	8200000	8300000	8250000	54.9919
bin_00070	Chr01	8300000	8500000	8400000	55.0725
bin_00071	Chr01	8500000	8600000	8550000	55.314
bin_00072	Chr01	8600000	8700000	8650000	55.3945
bin_00073	Chr01	8700000	8800000	8750000	55.475
