     TraitID           TraitName  Chromosome    Position                          LeftMarker                         RightMarker         LOD      PVE(%)         Add         Dom      LeftCI     RightCI
           3            chuhuaqi           6    127.0000                           bin_01598                           bin_01599     13.7332      9.8967      5.0907      0.9747    126.5000    127.5000
           3            chuhuaqi          10    126.0000                           bin_02911                           bin_02912     14.0623     10.4130     -5.3822      0.3523    125.5000    127.5000
           3            chuhuaqi          11     75.0000                           bin_03082                           bin_03083     21.0805     15.9684     -6.6420      0.5221     73.5000     75.5000
           3            chuhuaqi          12     28.0000                           bin_03262                           bin_03263      9.1826      6.5465     -4.0479      0.8971     27.5000     29.5000
           3            chuhuaqi          16      6.0000                           bin_04370                           bin_04371      4.6312      3.1528      2.7236      1.6940      4.5000      6.5000
           5          erjifenzhi           7    121.0000                           bin_01937                           bin_01938      6.2649     13.8052     -2.3691     -0.5273    119.5000    121.5000
           6              fenzhi           6    127.0000                           bin_01598                           bin_01599      9.3062      7.5280      1.6779      0.6105    126.5000    127.5000
           6              fenzhi          10    127.0000                           bin_02912                           bin_02913     10.8840      8.8155     -1.8174      0.8200    125.5000    127.5000
           6              fenzhi          11     74.0000                           bin_03081                           bin_03082      7.8330      6.2128     -1.5544     -0.5540     73.5000     75.5000
           6              fenzhi          19    125.0000                           bin_05456                           bin_05457      9.6537      7.8678     -1.7714     -0.3406    123.5000    125.5000
           7        gujia_buguli           3     58.0000                           bin_00772                           bin_00773      5.8070      9.9002     -0.0197      0.2664     57.5000     59.5000
           7        gujia_buguli          10    187.0000                           bin_02957                           bin_02958      4.8118      8.1288      0.0286     -0.2594    186.5000    187.5000
          10            kaihuaqi           2    110.0000                           bin_00494                           bin_00495      6.7220      9.5550      1.4886      9.0511    109.5000    110.5000
          10            kaihuaqi           6    121.0000                           bin_01573                           bin_01574      5.8570      8.2486      6.2596     -1.5341    120.5000    121.5000
          10            kaihuaqi          11     79.0000                           bin_03086                           bin_03087      6.9159     10.0770     -7.5368      0.0547     77.5000     81.5000
          13          yijifenzhi           7     17.0000                           bin_01736                           bin_01737      5.0111      3.9393      0.3213      2.5716     16.5000     18.5000
          13          yijifenzhi           7    114.0000                           bin_01931                           bin_01932     18.1938     19.2093     -4.1458     -0.2578    113.5000    114.5000
          13          yijifenzhi           7    128.0000                           bin_01947                           bin_01948      8.5474      7.3130      2.5719     -0.0151    127.5000    128.5000
          15        zhongpiyanse           8     55.0000                           bin_02088                           bin_02089     15.0828     43.4027     -1.2629     -1.0596     54.5000     55.5000
          16      zhujingchangdu          14     38.0000                           bin_03876                           bin_03877      5.1274     16.6685    -16.7401    -65.0251     36.5000     39.5000
