TraitID	TraitName	Chromosome	Position_cM	LeftMarker	RightMarker	LOD	PVE(%)	Add	Dom	LeftCI	RightCI	PhysChrom	PeakLeft_start	PeakLeft_end	PeakLeft_mid_bp	PeakRight_start	PeakRight_end	PeakRight_mid_bp	Peak_interval_start	Peak_interval_end	Peak_interval_Mb	CI_LeftBin	CI_RightBin	CI_start	CI_end	CI_Mb
3	chuhuaqi	6	127.0000	bin_01598	bin_01599	13.7332	9.8967	5.0907	0.9747	126.5000	127.5000	Chr06	20600000	20900000	20750000	20900000	21000000	20950000	20600000	21000000	20.600-21.000	bin_01597	bin_01599	20400000	21000000	20.400-21.000
3	chuhuaqi	10	126.0000	bin_02911	bin_02912	14.0623	10.4130	-5.3822	0.3523	125.5000	127.5000	Chr10	47500000	47600000	47550000	47600000	47700000	47650000	47500000	47700000	47.500-47.700	bin_02911	bin_02913	47500000	47800000	47.500-47.800
3	chuhuaqi	11	75.0000	bin_03082	bin_03083	21.0805	15.9684	-6.6420	0.5221	73.5000	75.5000	Chr11	11100000	11200000	11150000	11200000	11300000	11250000	11100000	11300000	11.100-11.300	bin_03080	bin_03082	10900000	11200000	10.900-11.200
3	chuhuaqi	12	28.0000	bin_03262	bin_03263	9.1826	6.5465	-4.0479	0.8971	27.5000	29.5000	Chr12	4600000	4700000	4650000	4700000	4800000	4750000	4600000	4800000	4.600-4.800	bin_03263	bin_03264	4700000	4900000	4.700-4.900
3	chuhuaqi	16	6.0000	bin_04370	bin_04371	4.6312	3.1528	2.7236	1.6940	4.5000	6.5000	Chr16	1200000	1300000	1250000	1300000	1400000	1350000	1200000	1400000	1.200-1.400	bin_04369	bin_04370	1100000	1300000	1.100-1.300
5	erjifenzhi	7	121.0000	bin_01937	bin_01938	6.2649	13.8052	-2.3691	-0.5273	119.5000	121.5000	Chr07	39400000	39500000	39450000	39500000	39600000	39550000	39400000	39600000	39.400-39.600	bin_01937	bin_01938	39400000	39600000	39.400-39.600
6	fenzhi	6	127.0000	bin_01598	bin_01599	9.3062	7.5280	1.6779	0.6105	126.5000	127.5000	Chr06	20600000	20900000	20750000	20900000	21000000	20950000	20600000	21000000	20.600-21.000	bin_01597	bin_01599	20400000	21000000	20.400-21.000
6	fenzhi	10	127.0000	bin_02912	bin_02913	10.8840	8.8155	-1.8174	0.8200	125.5000	127.5000	Chr10	47600000	47700000	47650000	47700000	47800000	47750000	47600000	47800000	47.600-47.800	bin_02911	bin_02913	47500000	47800000	47.500-47.800
6	fenzhi	11	74.0000	bin_03081	bin_03082	7.8330	6.2128	-1.5544	-0.5540	73.5000	75.5000	Chr11	11000000	11100000	11050000	11100000	11200000	11150000	11000000	11200000	11.000-11.200	bin_03080	bin_03082	10900000	11200000	10.900-11.200
6	fenzhi	19	125.0000	bin_05456	bin_05457	9.6537	7.8678	-1.7714	-0.3406	123.5000	125.5000	Chr19	48300000	48400000	48350000	48400000	48500000	48450000	48300000	48500000	48.300-48.500	bin_05455	bin_05458	48200000	48600000	48.200-48.600
7	gujia_buguli	3	58.0000	bin_00772	bin_00773	5.8070	9.9002	-0.0197	0.2664	57.5000	59.5000	Chr03	35400000	35500000	35450000	35500000	35600000	35550000	35400000	35600000	35.400-35.600	bin_00772	bin_00773	35400000	35600000	35.400-35.600
7	gujia_buguli	10	187.0000	bin_02957	bin_02958	4.8118	8.1288	0.0286	-0.2594	186.5000	187.5000	Chr10	52100000	52200000	52150000	52200000	52300000	52250000	52100000	52300000	52.100-52.300	bin_02957	bin_02957	52100000	52200000	52.100-52.200
10	kaihuaqi	2	110.0000	bin_00494	bin_00495	6.7220	9.5550	1.4886	9.0511	109.5000	110.5000	Chr02	40100000	40200000	40150000	40200000	40300000	40250000	40100000	40300000	40.100-40.300	bin_00492	bin_00496	39700000	40400000	39.700-40.400
10	kaihuaqi	6	121.0000	bin_01573	bin_01574	5.8570	8.2486	6.2596	-1.5341	120.5000	121.5000	Chr06	17300000	17400000	17350000	17400000	17500000	17450000	17300000	17500000	17.300-17.500	bin_01573	bin_01574	17300000	17500000	17.300-17.500
10	kaihuaqi	11	79.0000	bin_03086	bin_03087	6.9159	10.0770	-7.5368	0.0547	77.5000	81.5000	Chr11	11500000	11600000	11550000	11600000	11700000	11650000	11500000	11700000	11.500-11.700	bin_03085	bin_03087	11400000	11700000	11.400-11.700
13	yijifenzhi	7	17.0000	bin_01736	bin_01737	5.0111	3.9393	0.3213	2.5716	16.5000	18.5000	Chr07	2600000	2700000	2650000	2700000	2800000	2750000	2600000	2800000	2.600-2.800	bin_01737	bin_01738	2700000	2900000	2.700-2.900
